scientific_name,author,gbif_id,plantnet_id,powo_id,iucn_category,common_names
Richeria grandis,Vahl,3079144,1404683,null,,Bwa bande
Ricinus communis,L.,5380041,1358609,null,,Castor-oil-plant; Castor-bean-plant; کرچک; Castor Bean; Castor Oil Plant; Ricin; Palma-christi; Castor; Castor Plant; Oil Nut Tree; Oilnut; Reri; Venna; Wond; Carrapateiro; Krapata; Lama palagi; Toto ni vavalagi; ఆముదం
Rinorea amapensis,Hekking,4077560,1403700,null,LC,
Rinorea brevipes,(Benth.) S.F.Blake,4076959,1403702,null,LC,
Rinorea falcata,(Mart. ex Eichler) Kuntze,4076055,1403703,null,LC,
Rinorea flavescens,(Aubl.) Kuntze,4075980,1403704,null,LC,
Rinorea guianensis,Aubl.,8151085,1406753,null,,
Rinorea macrocarpa,(Mart. ex Eichler) Kuntze,4074878,1403705,null,LC,
Rinorea neglecta,Sandwith,4074532,1403706,null,LC,
Rinorea paniculata,(Mart.) Kuntze,8381637,1403707,null,LC,
Rinorea racemosa,(Mart.) Kuntze,4077827,1405165,null,,
Rinorea riana,Kuntze,4077782,1403709,null,LC,
Ronabea latifolia,Aubl.,2902114,1406123,null,LC,
Rosenbergiodendron longiflorum,(Ruiz & Pav.) Fagerl.,2904214,1679926,null,LC,
Roucheria calophylla,Planch.,4048538,1404861,null,LC,
Roupala montana,Aubl.,7831077,1404160,null,LC,
Roupala nitida,Rudge,3999332,1406067,null,LC,
Roupala obtusata,Klotzsch,7287642,1403218,null,LC,
Rourea amazonica,(Baker) Radlk.,7971794,1526980,null,LC,
Rudgea amazonica,Müll.Arg.,2910638,1722952,null,,
Rudgea cornifolia,(Kunth) Standl.,2910497,1680047,null,LC,
Rudgea graciliflora,Standl.,2910669,1680068,null,LC,
Rudgea lanceifolia,Salisb.,2910565,1403412,null,LC,
Rudgea longiflora,Benth.,2910559,1680086,null,LC,
Rudgea sclerocalyx,(Müll.Arg.) Zappi,2910612,1680128,null,LC,
Rudgea stipulacea,(DC.) Steyerm.,2910835,1403414,null,LC,
Ruizterania albiflora,(Warm.) Marc.-Berti,9177044,1404263,null,LC,
Ruizterania cassiquiarensis,(Spruce ex Warm.) Marc.-Berti,4030492,1698369,null,,
Ruizterania esmeraldae,(Standl.) Marc.-Berti,4030445,1698370,null,LC,
Ruizterania retusa,(Spruce ex Warm.) Marc.-Berti,4030801,1698372,null,LC,
Ruprechtia brachysepala,Meisn.,4034499,1403773,null,LC,
Ruprechtia tangarana,Standl.,4033707,1658690,null,LC,
Ryania angustifolia,(Turcz.) Monach.,8377430,1683896,null,LC,
Ryania pyrifera,(Rich.) Uittien & Sleumer,8089951,1683900,null,LC,
Ryania speciosa,Vahl,7342747,1401773,null,LC,
Ryania spruceana,Monach.,7581165,1683902,null,LC,
Sacoglottis amazonica,Mart.,3649109,1405750,null,LC,
Sacoglottis ceratocarpa,Ducke,3649092,1554805,null,LC,
Sacoglottis cydonioides,Cuatrec.,3649046,1401865,null,LC,
Sacoglottis guianensis,Benth.,7320147,1401866,null,LC,
Sacoglottis mattogrossensis,Malme,7320169,1407048,null,LC,
Sagotia racemosa,Baill.,5377870,1401737,null,LC,
Salacia cordata,(Miers) Mennega,5579800,1494784,null,LC,
Salacia elliptica,(Mart.) G.Don,8599572,1494795,null,LC,
Salacia gigantea,Loes.,5579541,1494801,null,LC,
Salacia impressifolia,(Miers) A.C.Sm.,5579512,1401855,null,LC,
Salacia insignis,A.C.Sm.,5579508,1401852,null,LC,
Salacia multiflora,(Lam.) DC.,7265706,1401854,null,LC,
Salacia negrensis,Lombardi,5580233,1494820,null,,
Salix humboldtiana,Willd.,5372914,1684052,null,LC,Humboldt's willow; Chile willow
