scientific_name,author,gbif_id,plantnet_id,iucn_category,common_names
Euterpe precatoria,Mart.,5293425,1403859,LC,Mountain-cabbage
Euxylophora paraensis,Huber,3834762,1682672,EN,Pau amarello
Faramea brevipes,Steyerm.,2898013,1672588,,
Faramea capillipes,Müll.Arg.,2898189,1403279,LC,
Faramea corymbosa,Aubl.,2898186,1403281,LC,
Faramea juruana,K.Krause,2898011,1672653,,
Faramea multiflora,A.Rich. ex DC.,8295089,1403286,LC,
Faramea occidentalis,(L.) A.Rich.,2898087,1403287,,False Coffee
Faramea paniculata,(Aubl.) Benth.,2898202,1672691,,
Faramea platyneura,Müll.Arg.,2898199,1672706,,
Faramea quinqueflora,Poepp.,2898037,1672712,LC,
Faramea sessiliflora,Aubl.,2898166,1403289,,
Faramea sessilifolia,(Kunth) DC.,2898141,1403290,LC,
Faramea torquata,Müll.Arg.,2898072,1407058,LC,
Ferdinandusa chlorantha,(Wedd.) Standl.,2907990,1672753,LC,
Ferdinandusa elliptica,(Pohl) Pohl,2908030,1672758,,
Ferdinandusa goudotiana,K.Schum.,2908013,1403293,LC,
Ferdinandusa guainiae,Spruce ex K.Schum.,2908017,1407160,,
Ferdinandusa hirsuta,Standl.,2907997,1672759,,
Ferdinandusa paraensis,Ducke,2907988,1403294,,
Ferdinandusa rudgeoides,(Benth.) Wedd.,2908021,1672767,LC,
Ferdinandusa uaupensis,Spruce ex K.Schum.,2908016,1407132,LC,
Ficus albert-smithii,Standl.,5572480,1404457,LC,
Ficus amazonica,(Miq.) André,10988019,1726207,LC,
Ficus americana,Aubl.,5361926,1405351,LC,Jamaican cherry fig; Werckle's rubber tree; West Indian laurel fig
